iter	Passed	Remaining
617	5028	1480
618	5035	1472
619	5043	1464
620	5049	1455
621	5056	1447
622	5063	1438
623	5070	1430
624	5077	1421
625	5084	1413
626	5091	1404
627	5098	1396
628	5105	1388
629	5112	1379
630	5119	1371
631	5126	1362
632	5132	1354
633	5140	1345
634	5146	1337
635	5154	1329
636	5161	1320
637	5168	1312
638	5176	1304
639	5183	1295
640	5191	1287
641	5198	1279
642	5205	1271
643	5212	1262
644	5220	1254
645	5226	1245
646	5233	1237
647	5240	1229
648	5246	1220
649	5253	1212
650	5260	1204
651	5268	1195
652	5275	1187
653	5281	1179
654	5289	1170
655	5296	1162
656	5305	1154
657	5313	1146
658	5321	1138
659	5328	1130
660	5335	1122
661	5342	1113
662	5350	1105
663	5357	1097
664	5364	1089
665	5371	1080
666	5378	1072
667	5385	1064
668	5392	1055
669	5400	1047
670	5406	1039
671	5413	1031
672	5419	1022
673	5426	1014
674	5433	1006
675	5440	997
676	5449	990
677	5455	981
678	5463	973
679	5469	965
680	5476	956
681	5484	948
682	5491	940
683	5500	932
684	5507	924
685	5515	916
686	5522	908
687	5530	900
688	5536	892
689	5543	883
690	5550	875
691	5557	867
692	5566	859
693	5572	851
694	5581	843
695	5588	835
696	5596	827
697	5602	818
698	5610	810
699	5617	802
700	5624	794
701	5631	786
702	5638	777
703	5646	769
704	5653	761
705	5660	753
706	5666	745
707	5673	737
708	5680	729
709	5687	720
710	5694	712
711	5701	704
712	5708	696
713	5715	688
714	5722	680
715	5730	672
716	5736	664
717	5743	655
718	5750	647
719	5757	639
720	5764	631
721	5772	623
722	5778	615
723	5785	607
724	5792	599
725	5799	591
726	5806	583
727	5813	574
728	5821	566
729	5827	558
730	5834	550
731	5841	542
732	5847	534
733	5854	526
734	5861	518
735	5869	510
736	5875	502
737	5882	494
738	5889	486
739	5896	478
740	5903	470
741	5910	461
742	5917	453
743	5924	445
744	5931	437
745	5938	429
746	5944	421
747	5951	413
748	5958	405
749	5967	397
750	5974	389
751	5981	381
752	5988	373
753	5994	365
754	6001	357
755	6008	349
756	6015	341
757	6022	333
758	6030	325
759	6037	317
760	6043	309
761	6050	301
762	6057	293
763	6064	285
764	6071	277
765	6078	269
766	6085	261
767	6092	253
768	6099	245
769	6106	237
770	6113	229
771	6120	221
772	6127	214
773	6134	206
774	6141	198
775	6148	190
776	6155	182
777	6162	174
778	6169	166
779	6176	158
780	6183	150
781	6190	142
782	6197	134
783	6203	126
784	6211	118
785	6218	110
786	6225	102
787	6232	94
788	6239	86
789	6246	79
790	6253	71
791	6260	63
792	6267	55
793	6274	47
794	6280	39
795	6287	31
796	6293	23
797	6301	15
798	6308	7
799	6314	0
