temperature,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24,hour_sin,hour_cos,dow_sin,dow_cos
26,20,10,1,5,1,48925.0,45393.0,44443.0,49033.0,47476.0,49260.0,26.0,26.0,47343.66666666666,46111.833333333336,37950.333333333336,10000.419768001344,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
25,21,10,1,5,1,47713.0,48925.0,45393.0,39879.0,39695.0,40557.0,26.0,25.0,45179.0,45021.16666666666,37909.5,9994.201131699809,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146
25,22,10,1,5,1,38899.0,47713.0,48925.0,34111.0,33108.0,34675.0,25.0,25.0,39820.333333333336,43037.0,37856.91666666666,10018.346196578204,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
25,23,10,1,5,1,32849.0,38899.0,47713.0,30132.0,30258.0,31996.0,25.0,25.0,34049.666666666664,40696.66666666666,37868.125,10009.474495663995,-0.2588190451025215,0.965925826289068,-0.9749279121818236,-0.2225209339563146
24,0,11,1,6,1,30401.0,32849.0,38899.0,27071.0,28023.0,29536.0,25.0,24.0,30488.666666666668,37833.833333333336,37915.833333333336,9958.372739719509,0.0,1.0,-0.7818314824680299,0.6234898018587334
24,1,11,1,6,1,28216.0,30401.0,32849.0,25440.0,26578.0,28364.0,24.0,24.0,28398.0,34109.166666666664,37963.208333333336,9898.968268501383,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334
23,2,11,1,6,1,26577.0,28216.0,30401.0,25769.0,25658.0,26949.0,24.0,24.0,26661.666666666668,30355.666666666668,37939.16666666666,9930.522441997433,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334
23,3,11,1,6,1,25192.0,26577.0,28216.0,24853.0,25044.0,25615.0,23.0,23.0,25369.33333333333,27929.0,37917.75,9960.4808564298,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334
23,4,11,1,6,1,24339.0,25192.0,26577.0,24684.0,25086.0,25146.0,23.0,23.0,24482.0,26440.0,37885.708333333336,10006.03588049068,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
23,5,11,1,6,1,23915.0,24339.0,25192.0,25292.0,25982.0,24969.0,23.0,23.0,24138.666666666668,25400.166666666668,37838.625,10070.32407324698,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334
23,6,11,1,6,1,24162.0,23915.0,24339.0,26845.0,28811.0,24833.0,23.0,23.0,24524.666666666668,24947.0,37782.458333333336,10137.839200261687,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
23,7,11,1,6,1,25497.0,24162.0,23915.0,28526.0,35799.0,23998.0,23.0,23.0,24827.0,24654.5,37628.125,10311.58662911692,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334
23,8,11,1,6,1,24822.0,25497.0,24162.0,33323.0,46134.0,25935.0,23.0,23.0,25834.33333333333,24986.5,37372.333333333336,10497.49074227066,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
24,9,11,1,6,1,27184.0,24822.0,25497.0,44291.0,57085.0,35521.0,23.0,24.0,29624.0,27074.33333333333,37062.958333333336,10393.62155772208,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334
23,10,11,1,6,1,36866.0,27184.0,24822.0,49659.0,61732.0,41549.0,24.0,26.0,35292.333333333336,30059.666666666668,36736.625,10099.74057700624,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
23,11,11,1,6,1,41827.0,36866.0,27184.0,50415.0,62745.0,42181.0,23.0,28.0,40494.333333333336,33164.333333333336,36418.91666666666,9765.13842336792,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334
23,12,11,1,6,1,42790.0,41827.0,36866.0,50178.0,61201.0,42797.0,23.0,29.0,42519.0,36071.5,36117.333333333336,9427.668915930708,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
23,13,11,1,6,1,42940.0,42790.0,41827.0,47193.0,59993.0,42573.0,23.0,30.0,43212.0,39252.16666666666,35980.375,9282.53245436312,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
24,14,11,1,6,1,43906.0,42940.0,42790.0,46476.0,61386.0,42768.0,23.0,29.0,43633.66666666666,42064.0,35879.5,9176.05960709954,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
29,15,11,1,6,1,44055.0,43906.0,42940.0,45443.0,61695.0,42478.0,24.0,28.0,43855.66666666666,43187.333333333336,35802.958333333336,9100.165480956784,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
29,16,11,1,6,1,43606.0,44055.0,43906.0,44754.0,59307.0,41759.0,29.0,28.0,43656.66666666666,43434.333333333336,35742.75,9042.969367318525,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
28,17,11,1,6,1,43309.0,43606.0,44055.0,44443.0,50715.0,41730.0,29.0,28.0,43353.0,43493.333333333336,35688.625,8992.37751515139,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334
27,18,11,1,6,1,43144.0,43309.0,43606.0,45393.0,48161.0,43558.0,28.0,27.0,43899.333333333336,43877.5,35682.458333333336,8985.481342405115,-1.0,-1.8369701987210292e-16,-0.7818314824680299,0.6234898018587334
26,19,11,1,6,1,45245.0,43144.0,43309.0,48925.0,50818.0,46955.0,27.0,26.0,44998.333333333336,44327.5,35585.833333333336,8848.308370219305,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334
25,20,11,1,6,1,46606.0,45245.0,43144.0,47713.0,49033.0,45841.0,26.0,26.0,45752.0,44552.5,35489.666666666664,8722.42191469613,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
25,21,11,1,6,1,45405.0,46606.0,45245.0,38899.0,39879.0,37817.0,25.0,25.0,43100.333333333336,43499.833333333336,35422.625,8701.235768368733,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334
24,22,11,1,6,1,37290.0,45405.0,46606.0,32849.0,34111.0,31649.0,25.0,25.0,38232.0,41615.16666666666,35387.291666666664,8713.853535203085,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
23,23,11,1,6,1,32001.0,37290.0,45405.0,30401.0,30132.0,28601.0,24.0,25.0,32668.33333333333,39210.16666666666,35317.0,8762.493525396123,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334
23,0,12,1,0,0,28714.0,32001.0,37290.0,28216.0,27071.0,28846.0,23.0,24.0,29079.666666666668,36090.0,35246.5,8828.666490472968,0.0,1.0,0.0,1.0
23,1,12,1,0,0,26524.0,28714.0,32001.0,26577.0,25440.0,27669.0,23.0,24.0,26894.33333333333,32563.166666666668,35199.333333333336,8879.871903045281,0.2588190451025207,0.9659258262890684,0.0,1.0
23,2,12,1,0,0,25445.0,26524.0,28714.0,25192.0,25769.0,26661.0,23.0,23.0,25496.0,29082.166666666668,35171.291666666664,8913.84561269065,0.4999999999999999,0.8660254037844387,0.0,1.0
23,3,12,1,0,0,24519.0,25445.0,26524.0,24339.0,24853.0,25805.0,23.0,23.0,24535.33333333333,26807.5,35142.25,8951.727024289314,0.7071067811865476,0.7071067811865476,0.0,1.0
23,4,12,1,0,0,23642.0,24519.0,25445.0,23915.0,24684.0,26181.0,23.0,23.0,23993.666666666668,25444.0,35138.291666666664,8956.926906416304,0.8660254037844386,0.5000000000000001,0.0,1.0
22,5,12,1,0,0,23820.0,23642.0,24519.0,24162.0,25292.0,27499.0,23.0,23.0,24130.0,24813.0,35170.208333333336,8917.391507752507,0.9659258262890684,0.2588190451025207,0.0,1.0
22,6,12,1,0,0,24928.0,23820.0,23642.0,25497.0,26845.0,30108.0,22.0,23.0,25709.33333333333,25122.33333333333,35290.333333333336,8800.06593190059,1.0,6.123233995736766e-17,0.0,1.0
22,7,12,1,0,0,28380.0,24928.0,23820.0,24822.0,28526.0,36221.0,22.0,23.0,28977.0,26485.33333333333,35657.041666666664,8523.913387228386,0.9659258262890684,-0.2588190451025206,0.0,1.0
22,8,12,1,0,0,33623.0,28380.0,24928.0,27184.0,33323.0,47377.0,22.0,23.0,34369.333333333336,29249.666666666668,36237.083333333336,8394.942426281432,0.8660254037844387,-0.4999999999999998,0.0,1.0
24,9,12,1,0,0,41105.0,33623.0,28380.0,36866.0,44291.0,58317.0,22.0,24.0,41694.0,33701.666666666664,36799.083333333336,8876.539390887154,0.7071067811865476,-0.7071067811865475,0.0,1.0
27,10,12,1,0,0,50354.0,41105.0,33623.0,41827.0,49659.0,63803.0,24.0,23.0,49232.0,39104.5,37399.5,9682.208111430147,0.4999999999999999,-0.8660254037844387,0.0,1.0
28,11,12,1,0,0,56237.0,50354.0,41105.0,42790.0,50415.0,64688.0,27.0,23.0,54793.0,44581.16666666666,38024.41666666666,10495.132374485383,0.258819045102521,-0.9659258262890682,0.0,1.0
29,12,12,1,0,0,57788.0,56237.0,50354.0,42940.0,50178.0,64566.0,28.0,23.0,57291.66666666666,49492.833333333336,38645.66666666666,11215.337788499512,1.2246467991473532e-16,-1.0,0.0,1.0
30,13,12,1,0,0,57850.0,57788.0,56237.0,43906.0,47193.0,63859.0,29.0,23.0,57509.0,53370.5,39186.625,11779.038643921678,-0.2588190451025208,-0.9659258262890684,0.0,1.0
30,14,12,1,0,0,56889.0,57850.0,57788.0,44055.0,46476.0,65080.0,30.0,24.0,58533.333333333336,56663.16666666666,39886.875,12555.029022917652,-0.4999999999999997,-0.8660254037844388,0.0,1.0
28,15,12,1,0,0,60861.0,56889.0,57850.0,43606.0,45443.0,63998.0,30.0,29.0,61316.66666666666,59304.16666666666,40828.29166666666,13645.73452220006,-0.7071067811865471,-0.7071067811865479,0.0,1.0
29,16,12,1,0,0,66200.0,60861.0,56889.0,43309.0,44754.0,61603.0,28.0,29.0,63319.0,60414.0,41644.41666666666,14367.209074884706,-0.8660254037844385,-0.5000000000000004,0.0,1.0
28,17,12,1,0,0,62896.0,66200.0,60861.0,43144.0,44443.0,52972.0,29.0,28.0,60506.333333333336,59519.833333333336,42031.04166666666,14533.208803585789,-0.9659258262890684,-0.2588190451025206,0.0,1.0
28,18,12,1,0,0,52423.0,62896.0,66200.0,45245.0,45393.0,50044.0,28.0,27.0,54580.0,57948.333333333336,42163.375,14578.13637762267,-1.0,-1.8369701987210292e-16,0.0,1.0
26,19,12,1,0,0,48421.0,52423.0,62896.0,46606.0,48925.0,51883.0,28.0,26.0,50664.0,56991.5,42352.625,14667.52458535375,-0.9659258262890684,0.2588190451025203,0.0,1.0
25,20,12,1,0,0,51148.0,48421.0,52423.0,45405.0,47713.0,50579.0,26.0,25.0,49432.66666666666,54969.5,42491.125,14713.222643218352,-0.8660254037844386,0.5000000000000001,0.0,1.0
24,21,12,1,0,0,48729.0,51148.0,48421.0,37290.0,38899.0,41658.0,25.0,25.0,46616.0,50598.0,42602.833333333336,14682.16162756599,-0.7071067811865477,0.7071067811865474,0.0,1.0
24,22,12,1,0,0,39971.0,48729.0,51148.0,32001.0,32849.0,35432.0,24.0,24.0,40892.66666666666,45778.333333333336,42685.208333333336,14625.530144175584,-0.5000000000000004,0.8660254037844384,0.0,1.0
24,23,12,1,0,0,33978.0,39971.0,48729.0,28714.0,30401.0,30607.0,24.0,23.0,35007.666666666664,42220.16666666666,42783.54166666666,14535.1664502791,-0.2588190451025215,0.965925826289068,0.0,1.0
