time,temperature,load,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24,hour_sin,hour_cos,dow_sin,dow_cos
2009-02-18 00:00:00,25,30753,0,18,2,2,0,33234.0,36886.0,42486.0,31602.0,33612.0,33471.0,25.0,25.0,33624.333333333336,41395.0,50746.29166666666,18319.458748125555,0.0,1.0,0.9749279121818236,-0.22252093395631434
2009-02-18 01:00:00,24,28610,1,18,2,2,0,30753.0,33234.0,36886.0,30078.0,31125.0,31732.0,25.0,25.0,30865.666666666668,37214.333333333336,50685.125,18393.768342926887,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2009-02-18 02:00:00,24,27469,2,18,2,2,0,28610.0,30753.0,33234.0,28676.0,29669.0,30667.0,24.0,25.0,28944.0,33239.666666666664,50634.833333333336,18458.09895686573,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2009-02-18 03:00:00,23,27035,3,18,2,2,0,27469.0,28610.0,30753.0,28184.0,28904.0,30060.0,24.0,25.0,27704.666666666668,30664.5,50586.958333333336,18520.247205785465,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434
2009-02-18 04:00:00,23,26866,4,18,2,2,0,27035.0,27469.0,28610.0,27952.0,28828.0,29628.0,23.0,25.0,27123.33333333333,28994.5,50541.708333333336,18579.18796484307,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2009-02-18 05:00:00,23,27531,5,18,2,2,0,26866.0,27035.0,27469.0,28861.0,29662.0,30458.0,23.0,25.0,27144.0,28044.0,50486.29166666666,18648.52140654483,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
2009-02-18 06:00:00,23,31059,6,18,2,2,0,27531.0,26866.0,27035.0,33037.0,33283.0,33221.0,23.0,25.0,28485.33333333333,28095.0,50403.875,18733.16975270587,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2009-02-18 07:00:00,22,40393,7,18,2,2,0,31059.0,27531.0,26866.0,42931.0,43767.0,41531.0,23.0,24.0,32994.333333333336,30058.83333333333,50298.125,18784.28261886605,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
2009-02-18 08:00:00,23,51797,8,18,2,2,0,40393.0,31059.0,27531.0,56228.0,56537.0,52724.0,22.0,25.0,41083.0,34113.5,50113.5,18745.200459340733,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2009-02-18 09:00:00,25,61810,9,18,2,2,0,51797.0,40393.0,31059.0,66168.0,67116.0,62183.0,23.0,26.0,51333.333333333336,39909.333333333336,49931.91666666666,18603.492224560254,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
